状态ID,状态名称,原分类,一级分类,二级分类,三级分类,描述,触发条件,效果类别,作用对象,影响维度,促进动作,促进技能,限制动作,限制技能,机制说明,持续时间,可叠加
S001,愉悦,情绪类,情绪,正向,喜,心情轻快，看什么都顺眼,需求满足度高、社交成功、收到礼物,需求变化、行动控制,自己,需求/生理,否,否,行动降效,否,所有心理需求下降速度 -20%,2小时,是
S002,忧伤,情绪类,情绪,负向,哀,心中愁闷，提不起精神,需求崩溃、被训斥、关系破裂,需求变化、行动控制、社交修正,自己,需求/生理、社交,否,否,行动降效,否,社交需求恢复速度 -50%,3小时,是
S003,愤怒,情绪类,情绪,负向,怒,怒不可遏，随时可能爆发,被羞辱、争执失败、信任崩塌,社交修正、属性修正,自己,社交、属性,社交互动、争执/对抗,逻辑,否,否,争执类互动权重 +80%，逻辑属性 -2,1.5小时,是
S004,恐惧,情绪类,情绪,负向,恐,战战兢兢，如履薄冰,被严厉训斥、目睹冲突、禁足中,行动控制、社交修正,自己,社交、行动,否,否,行动降效、主动社交,否,所有活动效率 -30%，不敢主动社交,2小时,是
S005,惊诧,情绪类,情绪,波动,惊,一时愕然，不知所措,目睹逾矩行为、突发奇事,行动控制,自己,行动,否,否,行动禁止/中断,否,当前行动中断，短暂僵直,10分钟,是
S006,羞赧,情绪类,情绪,其他情绪,未细分,脸红耳热，不好意思,传情被回应、被当众称赞,社交修正,自己,社交,否,否,否,否,社交效果 +15% 但易接受更多传情,1小时,是
S007,平静,情绪类,情绪,正向,安,心如止水，波澜不惊,长时间独处、禅修成功,其他,自己,其他,否,否,否,否,情绪波动幅度 -50%,3小时,是
S008,焦虑,情绪类,情绪,其他情绪,未细分,心神不宁，坐立不安,重要任务未完成、面临考核,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,专注需求衰减速度 +30%,2小时,是
S009,嫉妒,情绪类,情绪,负向,妒,见人得意，心中酸涩,目睹他人受宠、获得比自己更好的待遇,社交修正,自己,社交,否,否,否,否,对嫉妒对象的社交权重 -40%,2小时,是
S010,释然,情绪类,情绪,正向,安,放下执念，轻松自在,长期困扰的问题得到解决,需求变化、行动控制,自己,需求/生理,否,否,行动降效,否,所有需求下降速度 -15%,1小时,是
S011,得意,情绪类,情绪,正向,自我评价,春风得意，喜形于色,成功完成重要任务、获得夸奖,社交修正,自己,社交,否,否,否,否,社交效果 +20%，但易引起嫉妒,1.5小时,是
S012,失望,情绪类,情绪,其他情绪,未细分,期望落空，心中怅然,重要期望未达成、被爽约,需求变化、行动控制,自己,需求/生理,否,否,行动降效,否,娱乐需求恢复速度 -40%,2小时,是
S013,怀念,情绪类,情绪,其他情绪,未细分,睹物思人，心中感伤,看到旧物、进入有记忆的场景,需求变化、社交修正,自己,需求/生理、社交,否,否,否,否,社交需求 +20点，但社交效果 -10%,1小时,是
S014,愧疚,情绪类,情绪,其他情绪,未细分,良心不安，想要弥补,伤害他人、违背承诺,其他,自己,其他,否,否,否,否,对愧疚对象的服从 +15,3小时,是
S015,羡慕,情绪类,情绪,其他情绪,未细分,心向往之，但无恶意,看到他人拥有自己渴望的事物,关系变化,自己,关系,否,否,否,否,对羡慕对象的好感 +10,1小时,是
S016,孤独,情绪类,情绪,其他情绪,未细分,形单影只，心中寂寥,长时间无人陪伴、被孤立,需求变化、行动控制、社交修正,自己,需求/生理、社交,通用行动,否,否,否,社交需求衰减速度 +40%,2小时,是
S017,自豪,情绪类,情绪,其他情绪,未细分,成就加身，意气风发,完成高难度任务、获得荣誉,属性修正,自己,属性,否,否,否,否,所有属性临时 +1,2小时,是
S018,迷茫,情绪类,情绪,其他情绪,未细分,前路不明，不知何去何从,重大抉择、失去人生目标,行动控制,他人,行动,否,否,行动降效,否,行动效率 -25%，容易接受他人建议,3小时,是
S019,烦躁,情绪类,情绪,其他情绪,未细分,心绪不宁，容易发火,被琐事困扰、环境嘈杂,社交修正,自己,社交,否,否,否,否,争执触发概率 +30%,1小时,是
S020,感动,情绪类,情绪,其他情绪,未细分,热泪盈眶，心中温暖,收到意外关怀、见证感人场景,关系变化,自己,关系,否,否,否,否,对感动对象的好感 +15,1.5小时,是
S021,无聊,情绪类,情绪,其他情绪,未细分,无所事事，百无聊赖,长时间无事可做,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,娱乐需求衰减速度 +50%,1小时,是
S022,欣慰,情绪类,情绪,其他情绪,未细分,看到成果，心中满足,晚辈/下属取得进步,需求变化、社交修正,自己,需求/生理、社交,否,否,否,否,社交效果 +10%，舒适需求 +10点,1小时,是
S023,无奈,情绪类,情绪,其他情绪,未细分,无力改变，只能接受,面对无法改变的局面,行动控制,自己,行动,否,否,行动降效,否,所有行动效率 -15%,1小时,是
S024,兴奋,情绪类,情绪,其他情绪,未细分,情绪高涨，充满活力,期待已久的事情即将发生,需求变化、行动控制、社交修正,自己,需求/生理、社交,通用行动,否,否,否,精力消耗速度 +20%，社交效果 +25%,1小时,是
S025,忧郁,情绪类,情绪,其他情绪,未细分,淡淡的愁绪，挥之不去,阴雨天气、读伤感诗词,需求变化、行动控制,自己,需求/生理,通用行动,否,否,否,娱乐需求下降速度 +20%,2小时,是
S026,镇定,情绪类,情绪,其他情绪,未细分,临危不乱，从容应对,面对突发危机、高压力情境,属性修正,自己,属性,否,逻辑,否,否,逻辑属性 +2，协调属性 +1,1小时,是
S027,厌烦,情绪类,情绪,其他情绪,未细分,心生反感，不愿接触,重复性任务、不喜欢的人频繁出现,社交修正,自己,社交,否,否,否,否,对厌烦对象的社交权重 -50%,1小时,是
S028,憧憬,情绪类,情绪,其他情绪,未细分,向往美好，满怀期待,听到美好的未来规划,需求变化、行动控制,自己,需求/生理、行动,通用行动,否,否,否,娱乐需求 +15点，行动效率 +10%,1小时,是
